job_title,salary_in_usd,company_location,experience_level
Machine Learning Engineer,45618,HR,SE
Data Scientist,62726,DE,EN
Data Scientist,49268,DE,EN
Data Science Manager,190200,US,SE
Data Scientist,105000,US,EN
Data Scientist,91237,AT,SE
Data Scientist,62726,LU,MI
Data Scientist,42197,FR,MI
Research Scientist,82528,GB,EN
BI Data Analyst,150000,US,EX
Head of Data,235000,US,EX
Data Scientist,53192,FR,SE
BI Data Analyst,100000,US,MI
3D Computer Vision Researcher,5409,IN,MI
ML Engineer,270000,US,MI
Data Analyst,80000,US,EN
Data Analytics Engineer,79197,DE,SE
Data Engineer,140000,US,MI
Applied Data Scientist,54238,CA,MI
Machine Learning Engineer,47282,ES,MI
Director of Data Science,153667,PL,EX
Data Engineer,28476,PL,MI
Data Analyst,59102,FR,EN
Data Analytics Engineer,110000,US,MI
Lead Data Analyst,170000,US,SE
Data Analyst,80000,US,SE
Marketing Data Analyst,88654,DK,SE
Data Science Consultant,76833,DE,EN
Lead Data Analyst,19609,IN,MI
Lead Data Engineer,276000,US,SE
Data Scientist,29751,IN,EN
Cloud Data Engineer,89294,SG,MI
AI Scientist,12000,US,EN
Financial Data Analyst,450000,US,MI
Computer Vision Software Engineer,70000,US,EN
Computer Vision Software Engineer,95746,US,MI
Data Analyst,75000,US,MI
Data Engineer,150000,US,SE
BI Data Analyst,36259,US,MI
Data Analyst,62000,US,MI
Data Scientist,73000,US,MI
Data Analyst,51519,GB,MI
Research Scientist,187442,CA,MI
Data Engineer,115000,US,SE
Data Engineer,150000,US,SE
Data Engineer,30428,IN,EN
Machine Learning Engineer,94564,DE,SE
Director of Data Engineering,113476,GB,SE
Lead Data Engineer,103160,GB,SE
AI Scientist,12000,US,EN
Data Engineer,45391,NL,MI
Machine Learning Scientist,225000,US,EN
Data Scientist,50000,NG,MI
Data Science Engineer,40189,GR,MI
Data Analyst,90000,US,EN
Data Engineer,200000,US,MI
Big Data Engineer,60000,RO,MI
Principal Data Engineer,200000,US,SE
Data Analyst,50000,US,EN
Applied Data Scientist,110037,GB,EN
Data Analyst,10354,ES,EN
Principal Data Scientist,151000,US,MI
Machine Learning Scientist,120000,US,SE
Data Scientist,9466,IN,MI
Machine Learning Engineer,20000,IN,EN
Lead Data Scientist,40570,IN,SE
Machine Learning Developer,100000,IQ,EN
Data Scientist,49646,FR,EN
Applied Machine Learning Scientist,38400,US,MI
Computer Vision Engineer,24000,BR,SE
Data Scientist,100000,US,EN
Data Analyst,90000,US,MI
ML Engineer,63711,JP,MI
ML Engineer,77364,JP,MI
Principal Data Scientist,220000,US,SE
Data Scientist,80000,US,EN
Data Analyst,135000,US,MI
Data Science Manager,240000,US,SE
Data Engineering Manager,150000,US,SE
Data Scientist,82500,US,MI
Data Engineer,100000,US,MI
Machine Learning Engineer,82744,BE,SE
Research Scientist,62649,FR,MI
Data Engineer,90000,US,MI
Data Engineering Manager,153000,US,SE
Cloud Data Engineer,160000,US,SE
Director of Data Science,168000,JP,SE
Data Scientist,150000,US,MI
Data Scientist,75774,CA,MI
Data Scientist,13400,UA,EN
Data Science Manager,144000,US,SE
Data Science Engineer,127221,CA,SE
Data Scientist,119059,IL,MI
Applied Machine Learning Scientist,423000,US,MI
Data Analytics Manager,120000,US,SE
Machine Learning Engineer,125000,US,EN
Head of Data,230000,RU,EX
Head of Data Science,85000,RU,EX
Data Engineer,28369,MT,MI
Data Science Consultant,63831,DE,EN
Director of Data Science,130026,DE,EX
Data Specialist,165000,US,SE
Data Engineer,80000,US,EN
Director of Data Science,250000,US,EX
BI Data Analyst,55000,US,EN
Data Architect,150000,US,MI
Data Architect,170000,US,MI
Data Engineer,82528,GB,MI
Data Analyst,60000,US,EN
Principal Data Scientist,235000,US,SE
Research Scientist,60757,PT,SE
Data Engineering Manager,174000,US,SE
Data Scientist,2859,MX,MI
Data Scientist,40038,CL,MI
Machine Learning Engineer,81000,US,EN
Data Scientist,5679,US,MI
Big Data Engineer,22611,IN,MI
Data Scientist,90734,DE,MI
Data Engineer,26005,US,MI
Finance Data Analyst,61896,GB,SE
Machine Learning Scientist,12000,PK,MI
Data Engineer,4000,IR,MI
Data Analytics Engineer,50000,GB,SE
Data Science Consultant,69741,ES,EX
Data Engineer,76833,GB,SE
Machine Learning Engineer,74000,JP,MI
Data Science Manager,152000,FR,SE
Machine Learning Engineer,21844,CO,EN
Big Data Engineer,18000,MD,MI
Data Science Manager,174000,US,SE
Research Scientist,96113,CA,SE
Data Scientist,147000,US,MI
BI Data Analyst,9272,KE,EN
Machine Learning Engineer,24342,IN,SE
Data Science Manager,54094,US,SE
Data Science Consultant,90000,US,EN
Data Scientist,61467,AT,MI
Machine Learning Infrastructure Engineer,195000,US,SE
Data Scientist,37825,ES,MI
Research Scientist,50000,US,SE
Data Scientist,160000,US,MI
Data Scientist,12901,BR,MI
Machine Learning Engineer,200000,US,SE
Data Engineer,165000,US,SE
Data Engineer,20000,US,MI
Data Analytics Manager,120000,US,SE
Machine Learning Engineer,24823,SI,MI
Research Scientist,56738,FR,MI
Data Engineer,66022,GB,MI
Big Data Engineer,5882,CH,EN
Machine Learning Engineer,24823,DE,EN
Principal Data Engineer,185000,US,SE
Computer Vision Engineer,28609,DK,EN
Data Scientist,90734,DE,MI
Machine Learning Engineer,88654,BE,MI
Data Analytics Manager,140000,US,SE
Machine Learning Engineer,46597,PL,MI
Data Scientist,116914,GB,MI
Data Scientist,33808,IN,MI
Data Scientist,56256,GB,MI
Machine Learning Scientist,225000,CA,SE
Principal Data Scientist,416000,US,EX
Data Scientist,87738,CA,SE
Data Scientist,88654,DE,MI
Data Scientist,135000,US,SE
Data Analyst,71786,CA,SE
Big Data Engineer,16228,IN,EN
ML Engineer,256000,US,SE
Director of Data Engineering,200000,US,SE
Data Analyst,200000,US,SE
Data Architect,180000,US,MI
Head of Data Science,110000,US,MI
Research Scientist,63810,CA,MI
Data Scientist,46809,ES,MI
Data Scientist,4000,VN,EN
Data Engineer,21637,IN,EN
Data Scientist,103691,CA,SE
Data Analyst,80000,US,MI
Data Engineer,110000,US,MI
Data Scientist,165000,US,SE
AI Scientist,18053,AS,EN
Data Engineer,72212,GB,MI
Data Scientist,36643,FR,EN
Data Engineer,12103,TR,MI
Data Engineer,96282,GB,SE
Principal Data Analyst,170000,US,SE
Data Scientist,115000,US,MI
Data Scientist,90000,US,EN
Principal Data Engineer,600000,US,EX
Data Scientist,28399,IN,EN
Data Analyst,93000,US,MI
Big Data Architect,99703,CA,SE
Data Engineer,200000,US,MI
Principal Data Scientist,173762,DE,SE
Machine Learning Engineer,185000,US,SE
Director of Data Science,141846,DE,EX
Data Scientist,130000,US,MI
Data Analyst,63831,DE,SE
Data Scientist,16904,IN,MI
Machine Learning Engineer,66265,IN,SE
Data Scientist,25532,DE,MI
Lead Data Engineer,160000,US,SE
Data Engineer,93150,US,MI
Data Engineer,111775,US,MI
Data Engineer,28016,TR,MI
Data Engineer,65013,DE,EN
Data Engineer,72500,US,EN
Computer Vision Engineer,18907,BR,SE
Data Science Consultant,76833,DE,EN
Machine Learning Engineer,85000,DE,EN
Data Scientist,77684,FR,SE
Data Scientist,100000,US,EN
Data Scientist,58000,US,EN
AI Scientist,55000,ES,SE
Data Scientist,20171,TR,SE
Business Data Analyst,59102,LU,EN
Data Engineer,112000,US,MI
Research Scientist,100000,CN,EN
Data Engineer,69741,NL,MI
Staff Data Scientist,105000,US,SE
Research Scientist,69999,CZ,MI
Data Science Manager,94665,IN,SE
Head of Data,102839,SI,SE
Data Scientist,109000,US,MI
Machine Learning Engineer,51064,IT,MI
Data Engineer,135000,US,SE
Data Analyst,155000,US,SE
Data Analyst,120600,US,SE
Data Scientist,130000,US,MI
Data Scientist,90000,US,MI
Data Engineer,170000,US,MI
Data Engineer,150000,US,MI
Data Analyst,102100,US,SE
Data Analyst,84900,US,SE
Data Scientist,136620,US,SE
Data Scientist,99360,US,SE
Data Scientist,117789,GB,SE
Data Scientist,104702,GB,SE
Data Scientist,146000,US,SE
Data Scientist,123000,US,SE
Data Engineer,52351,GB,EN
Data Analyst,99000,US,SE
Data Analyst,116000,US,SE
Data Analyst,106260,US,MI
Data Analyst,126500,US,MI
Data Engineer,242000,US,EX
Data Engineer,200000,US,EX
Data Scientist,65438,GB,MI
Data Scientist,39263,GB,MI
Data Engineer,78526,GB,MI
Data Engineer,52351,GB,MI
Data Scientist,165220,US,SE
Data Engineer,45807,GB,EN
Data Scientist,120160,US,SE
Data Analyst,90320,US,SE
Data Engineer,181940,US,SE
Data Engineer,132320,US,SE
Data Engineer,220110,US,SE
Data Engineer,160080,US,SE
Data Scientist,180000,US,SE
Data Scientist,120000,US,SE
Data Analyst,124190,US,SE
Data Analyst,130000,US,EX
Data Analyst,110000,US,EX
Data Analyst,170000,US,SE
Data Analyst,115500,US,MI
Data Analyst,112900,US,SE
Data Analyst,90320,US,SE
Data Analyst,112900,US,SE
Data Analyst,90320,US,SE
Data Engineer,165400,US,SE
Data Engineer,132320,US,SE
Data Analyst,167000,US,MI
Data Engineer,243900,US,SE
Data Analyst,136600,US,SE
Data Analyst,109280,US,SE
Data Engineer,128875,US,SE
Data Engineer,93700,US,SE
Head of Data Science,224000,US,EX
Head of Data Science,167875,US,EX
Analytics Engineer,175000,US,EX
Data Engineer,156600,US,SE
Data Engineer,108800,US,SE
Data Scientist,95550,US,SE
Data Engineer,113000,US,SE
Data Analyst,135000,US,SE
Data Science Manager,161342,US,SE
Data Science Manager,137141,US,SE
Data Scientist,167000,US,SE
Data Scientist,123000,US,SE
Data Engineer,78526,GB,SE
Data Engineer,65438,GB,SE
Data Scientist,150000,US,SE
Data Scientist,211500,US,SE
Data Architect,192400,CA,SE
Data Architect,90700,CA,SE
Data Analyst,130000,CA,SE
Data Analyst,61300,CA,SE
Data Analyst,130000,CA,SE
Data Analyst,61300,CA,SE
Data Engineer,160000,US,SE
Data Scientist,138600,US,SE
Data Engineer,136000,US,SE
Data Analyst,58000,US,MI
Analytics Engineer,135000,US,EX
Data Scientist,170000,US,SE
Data Scientist,123000,US,SE
Machine Learning Engineer,189650,US,SE
Machine Learning Engineer,164996,US,SE
ETL Developer,54957,GR,MI
ETL Developer,54957,GR,MI
Lead Data Engineer,118187,CA,EX
Data Analyst,132000,US,SE
Data Engineer,165400,US,SE
Data Architect,208775,US,SE
Data Architect,147800,US,SE
Data Engineer,136994,US,SE
Data Engineer,101570,US,SE
Data Analyst,128875,US,SE
Data Analyst,93700,US,SE
Head of Machine Learning,79039,IN,EX
Data Engineer,132320,US,SE
Machine Learning Engineer,37300,GB,EN
Data Analyst,164000,US,SE
Data Engineer,155000,US,SE
Machine Learning Engineer,124333,GB,MI
Machine Learning Engineer,98158,GB,MI
AI Scientist,120000,US,MI
Data Analyst,112900,US,SE
Data Analyst,90320,US,SE
Data Analytics Manager,145000,US,SE
Data Analytics Manager,105400,US,SE
Machine Learning Engineer,87932,DE,MI
Data Engineer,117789,GB,MI
Data Scientist,215300,US,SE
Data Scientist,158200,US,SE
Data Engineer,209100,US,SE
Data Engineer,154600,US,SE
Data Analyst,115934,US,SE
Data Analyst,81666,US,SE
Data Engineer,175000,US,SE
Data Engineer,98158,GB,MI
Data Analyst,58000,US,MI
Data Engineer,183600,US,SE
Data Analyst,52351,GB,MI
Data Scientist,180000,US,SE
Data Scientist,71982,GB,MI
Data Scientist,45807,GB,MI
Data Engineer,65949,GR,MI
Data Engineer,49461,GR,MI
Data Engineer,78526,GB,MI
Data Engineer,58894,GB,MI
Data Scientist,260000,US,SE
Data Science Engineer,60000,MX,SE
Data Engineer,63900,US,MI
Machine Learning Scientist,160000,US,MI
Machine Learning Scientist,112300,US,MI
Data Science Manager,241000,US,MI
Data Science Manager,159000,US,MI
Data Scientist,180000,US,SE
Data Scientist,80000,US,SE
Data Engineer,82900,US,MI
Data Engineer,100800,US,SE
Data Engineer,49461,ES,MI
Data Scientist,140400,US,SE
Data Analyst,39263,GB,MI
Data Analyst,43966,ES,MI
Data Analyst,32974,ES,MI
Data Engineer,87932,ES,MI
Data Engineer,76940,ES,MI
Data Engineer,104702,GB,MI
Data Engineer,91614,GB,MI
Data Engineer,65949,ES,MI
Data Engineer,87932,GR,MI
Machine Learning Engineer,189650,US,SE
Machine Learning Engineer,164996,US,SE
Data Analyst,43966,GR,MI
Data Analyst,32974,GR,MI
Data Engineer,98158,GB,MI
Data Engineer,78526,GB,MI
Data Scientist,215300,US,SE
Data Engineer,76940,GR,MI
Data Engineer,209100,US,SE
Data Engineer,154600,US,SE
Data Engineer,180000,US,SE
ML Engineer,21983,PT,EN
Data Engineer,80000,US,SE
Machine Learning Developer,78791,CA,MI
Director of Data Science,196979,CA,EX
Machine Learning Engineer,120000,US,MI
Computer Vision Engineer,125000,US,EN
NLP Engineer,37236,US,MI
Data Engineer,105000,US,SE
Lead Machine Learning Engineer,87932,DE,SE
Business Data Analyst,18442,IN,MI
Data Scientist,31615,IN,MI
Machine Learning Infrastructure Engineer,58255,PT,MI
Financial Data Analyst,100000,US,EN
Data Engineer,54957,DE,MI
Data Scientist,18442,IN,EN
Principal Data Scientist,162674,DE,SE
Data Engineer,120000,US,EN
Research Scientist,144000,US,SE
Data Scientist,104890,US,SE
Data Engineer,100000,US,SE
Data Scientist,140000,US,SE
Data Analyst,135000,US,MI
Data Analyst,50000,US,MI
Data Scientist,220000,US,SE
Data Scientist,140000,US,SE
Data Scientist,183228,GB,MI
Data Scientist,91614,GB,MI
Data Scientist,185100,US,SE
Machine Learning Engineer,220000,US,SE
Data Scientist,200000,US,MI
Data Scientist,120000,US,MI
Machine Learning Engineer,120000,AE,SE
Machine Learning Engineer,65000,AE,SE
Data Engineer,324000,US,EX
Data Engineer,216000,US,EX
Data Engineer,210000,US,SE
Machine Learning Engineer,120000,US,SE
Data Scientist,230000,US,SE
Data Scientist,100000,DZ,EN
Data Scientist,100000,US,MI
Applied Machine Learning Scientist,31875,CZ,EN
Head of Data,200000,US,SE
Principal Data Analyst,75000,CA,MI
Data Scientist,35590,PL,MI
Machine Learning Developer,78791,CA,SE
Data Scientist,100000,US,SE
Machine Learning Scientist,153000,US,MI
Data Engineer,58035,DE,EN
Data Scientist,165000,US,SE
Research Scientist,93427,FR,SE
Data Scientist,52396,CA,EN
Machine Learning Engineer,62651,NL,SE
Head of Data,32974,EE,MI
Data Scientist,40000,MY,EN
Machine Learning Engineer,87425,AU,MI
Data Engineer,115000,US,SE
Data Scientist,86703,AU,EN
Applied Machine Learning Scientist,75000,US,MI
Research Scientist,64849,AT,MI
Research Scientist,120000,US,EN
Applied Data Scientist,157000,US,MI
Computer Vision Software Engineer,150000,AU,EN
Business Data Analyst,70912,CA,MI
Data Engineer,65000,US,EN
Machine Learning Engineer,71444,IE,SE
Data Analytics Engineer,20000,PK,EN
Data Scientist,48000,US,MI
Data Science Manager,152500,US,SE
Data Engineer,68147,FR,MI
Data Scientist,122346,CH,MI
Applied Data Scientist,380000,US,SE
Data Scientist,69336,CA,MI
Computer Vision Engineer,10000,LU,EN
Data Analyst,20000,GR,MI
Data Analytics Lead,405000,US,SE
Data Scientist,135000,US,MI
Applied Data Scientist,177000,US,SE
Data Scientist,78000,US,MI
Data Analyst,135000,US,SE
Data Analyst,100000,US,SE
Data Analyst,90320,US,SE
Data Analyst,85000,CA,MI
Data Analyst,75000,CA,MI
Machine Learning Engineer,214000,US,SE
Machine Learning Engineer,192600,US,SE
Data Architect,266400,US,SE
Data Architect,213120,US,SE
Data Analyst,112900,US,SE
Data Engineer,155000,US,SE
Data Scientist,141300,US,MI
Data Scientist,102100,US,MI
Data Analyst,115934,US,SE
Data Analyst,81666,US,SE
Data Engineer,206699,US,MI
Data Engineer,99100,US,MI
Data Engineer,130000,US,SE
Data Engineer,115000,US,SE
Data Engineer,110500,US,SE
Data Engineer,130000,US,SE
Data Analyst,99050,US,SE
Data Engineer,160000,US,SE
Data Scientist,205300,US,SE
Data Scientist,140400,US,SE
Data Scientist,176000,US,SE
Data Scientist,144000,US,SE
Data Engineer,200100,US,SE
Data Engineer,160000,US,SE
Data Engineer,145000,US,SE
Data Engineer,70500,US,SE
Data Scientist,205300,US,SE
Data Scientist,140400,US,SE
Analytics Engineer,205300,US,SE
Analytics Engineer,184700,US,SE
Data Engineer,175100,US,SE
Data Engineer,140250,US,SE
Data Analyst,116150,US,SE
Data Engineer,54000,US,SE
Data Analyst,170000,US,SE
Data Analyst,65438,GB,MI
Data Analyst,80000,US,SE
Data Scientist,140000,US,SE
Data Scientist,210000,US,SE
Data Scientist,140000,US,SE
Data Analyst,100000,US,SE
Data Analyst,69000,US,SE
Data Scientist,210000,US,SE
Data Scientist,140000,US,SE
Data Scientist,210000,US,SE
Data Analyst,150075,US,SE
Data Engineer,100000,US,SE
Data Engineer,25000,US,SE
Data Analyst,126500,US,SE
Data Analyst,106260,US,SE
Data Engineer,220110,US,SE
Data Engineer,160080,US,SE
Data Analyst,105000,US,SE
Data Analyst,110925,US,SE
Data Analyst,45807,GB,MI
Data Scientist,140000,US,SE
Data Analyst,99000,US,SE
Data Analyst,60000,US,SE
Data Architect,192564,US,SE
Data Architect,144854,US,SE
Data Scientist,230000,US,SE
Data Scientist,150000,US,SE
Data Analytics Manager,150260,US,SE
Data Analytics Manager,109280,US,SE
Data Scientist,210000,US,SE
Data Analyst,170000,US,SE
Data Scientist,160000,US,MI
Data Scientist,130000,US,MI
Data Analyst,67000,CA,EN
Data Analyst,52000,CA,EN
Data Engineer,154000,US,SE
Data Engineer,126000,US,SE
Data Analyst,129000,US,SE
Data Analyst,150000,US,SE
AI Scientist,200000,US,MI
